                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6415,                 1.0091,                 1.0946,                0.89748,                0.59418,                0.69805,                0.56203,                0.57291,                0.62301,                 1.0474,               0.067019,             0.00024012,             0.00024012
                      2,                0.60338,                0.76582,                 1.0531,                0.49765,                0.71829,                 0.6769,                0.56695,                0.48254,                0.63363,                0.99974,               0.033895,              0.0004493,              0.0004493
                      3,                0.58973,                0.73852,                  1.043,                0.51459,                0.57518,                0.60611,                0.53919,                0.46551,                0.63803,                0.99273,              0.0007389,             0.00062667,             0.00062667
                      4,                 0.5767,                0.68792,                 1.0356,                0.60935,                0.86823,                0.70308,                0.57697,                0.43475,                0.54705,                0.96459,             0.00057967,             0.00057967,             0.00057967
                      5,                0.57125,                0.68552,                 1.0256,                0.63597,                0.80942,                0.74353,                 0.6296,                0.44197,                0.57728,                0.96292,             0.00057967,             0.00057967,             0.00057967
                      6,                0.43638,                0.58048,                0.95191,                  0.812,                0.78933,                0.81108,                0.65455,                0.43544,                 0.4918,                0.95417,             0.00053197,             0.00053197,             0.00053197
                      7,                0.43386,                0.52954,                0.95362,                0.88824,                0.68333,                0.77025,                0.64504,                 0.4032,                0.49472,                 0.9422,             0.00048426,             0.00048426,             0.00048426
                      8,                 0.4194,                0.52394,                0.93362,                0.64713,                0.79823,                0.78433,                 0.6663,                0.42904,                 0.5299,                0.95443,             0.00043656,             0.00043656,             0.00043656
                      9,                0.40307,                 0.4973,                0.92849,                0.76053,                0.88152,                0.89965,                0.69843,                0.39893,                0.45693,                0.93612,             0.00038886,             0.00038886,             0.00038886
                     10,                0.39143,                0.46845,                0.91353,                0.86654,                0.74465,                0.83351,                 0.7049,                0.39294,                0.42637,                0.92421,             0.00034115,             0.00034115,             0.00034115
                     11,                0.37219,                0.43779,                 0.9013,                0.83861,                0.82713,                 0.8962,                0.73343,                0.38795,                0.43134,                0.92276,             0.00029345,             0.00029345,             0.00029345
                     12,                0.36236,                0.43097,                0.89381,                0.89854,                0.88536,                0.94147,                0.77097,                0.37096,                 0.3829,                0.90335,             0.00024575,             0.00024575,             0.00024575
                     13,                 0.3519,                0.41241,                0.88225,                0.74593,                0.91814,                0.87832,                0.72391,                0.36263,                0.40313,                 0.8948,             0.00019804,             0.00019804,             0.00019804
                     14,                0.33801,                0.39755,                0.87918,                0.83858,                0.87343,                0.91133,                0.75556,                0.34196,                0.40103,                0.88756,             0.00015034,             0.00015034,             0.00015034
                     15,                0.33147,                0.37204,                0.87238,                0.91573,                0.80435,                0.90757,                 0.7497,                0.34351,                0.35444,                0.88518,             0.00010264,             0.00010264,             0.00010264
